ActivityKey,Type
105839,Course
109249,Course
122499,Course
138929,Course
166229,Course
177499,Course
29846,Certification
6786,Assessment
24606,Exam
39906,Exam
187679,Course
188659,Course
52758,Exam
12786,Assessment
30986,Certification
8226,Assessment
25386,Certification
852,Track
47608,Exam
7652,Track
892,Track
30006,Certification
4826,Certification
17006,Assessment
41446,Exam
51038,Exam
26132,Track
41058,Exam
106849,Course
119229,Course
122959,Course
124869,Course
171419,Course
175339,Course
29956,Certification
6886,Assessment
24766,Certification
39916,Exam
187019,Course
189349,Course
10572,Track
12796,Assessment
31196,Certification
8386,Assessment
25396,Certification
45288,Exam
288,Exam
7402,Track
86618,Exam
30136,Certification
4846,Certification
17116,Assessment
41496,Exam
28912,Track
15272,Track
29402,Track
105879,Course
118859,Course
120819,Course
138159,Course
160409,Course
176779,Course
30036,Exam
6916,Exam
24806,Exam
39966,Exam
187499,Course
188809,Course
12452,Track
12816,Assessment
31236,Certification
8436,Assessment
25456,Certification
44978,Exam
68,Exam
10242,Track
86778,Exam
30286,Certification
5006,Certification
17156,Assessment
41546,Exam
1807828,Exam
12622,Track
50088,Exam
105289,Course
109879,Course
124379,Course
138879,Course
170179,Course
173449,Course
30066,Exam
7096,Assessment
24826,Certification
40096,Exam
184979,Course
189259,Course
7522,Track
12836,Assessment
31256,Certification
8466,Assessment
25746,Certification
28802,Track
1894498,Exam
29492,Track
86808,Exam
30336,Exam
5016,Certification
17316,Assessment
41576,Exam
52138,Exam
31322,Track
46328,Exam
106619,Course
118989,Course
125209,Course
125429,Course
173199,Course
176709,Course
30166,Certification
7136,Assessment
24836,Certification
40166,Exam
186749,Course
188829,Course
29592,Track
12936,Assessment
31266,Certification
8586,Assessment
25776,Exam
1562,Track
53838,Exam
52768,Exam
50348,Exam
30406,Certification
5066,Assessment
17356,Assessment
42096,Exam
26882,Track
6982,Track
41848,Exam
105709,Course
119519,Course
